label,nodeType,order,path,price,description,link,imageLink,Swiggy
Litchi Thick Shake,ProductType,34,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1tlBD1TsQHCvp5FF9c8v5N5baA1OQTyWc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LitchiThickShake.png,80
Litchi Thick Shake Medium,ProductUnit,35,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Litchi Thick Shake,",60,,https://drive.google.com/file/d/1YKylXQHRsjP1d8a5EluuvXNn-SXE5E__/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/LitchiThickShakeMedium.jpg,
Litchi Thick Shake Large,ProductUnit,36,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Litchi Thick Shake,",70,,https://drive.google.com/file/d/1nzNfCgmMy6MPlhRNKFk1kbzYgcABcIuL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/LitchiThickShakeLarge.jpg,
Vanilla Thick Shake,ProductType,37,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1T5VVrvrh7Z6bcuI7P8nubzyk8ImohRlR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vanilla-Thick-Shake.jpg,80
Vanilla Thick Shake Medium,ProductUnit,38,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Vanilla Thick Shake,",60,,https://drive.google.com/file/d/1OYRXdrmMKnlfPnN0tYT5sNe6qisq4OiJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VanillaThickShakeMedium.jpg,
Vanilla Thick Shake Large,ProductUnit,39,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Vanilla Thick Shake,",70,,https://drive.google.com/file/d/1P1qq8czdwHXslisePR-qVdnxmUvjiCL0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VanillaThickShakeLarge.jpg,
Elaichi Thick Shake,ProductType,40,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1O_jR64fe0PgEneurwMF7En6xc_JtX2NH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ElaichiThickShake.jpg,
Elaichi Thick Shake Medium,ProductUnit,41,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Elaichi Thick Shake,",60,,,,
Elaichi Thick Shake Large,ProductUnit,42,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Elaichi Thick Shake,",70,,,,
Black Current Thick Shake,ProductType,43,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1Fa3ieRTyUz_OP8QZkL4hSfZcQ5pEhs8P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackCurrentThickShake.jpg,
