label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Chocolate Milk Shake,ProductType,5,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",120,,https://drive.google.com/file/d/1GAjSfbm10dvCYgcQgx5oCyFMYoVb_W_z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChocolateMilkShake.jpg,,
Kesar Milk Shake,ProductType,6,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",130,,https://drive.google.com/file/d/1fmJQOkEsHONLDjTQ_AoGXQNhleVU7JQf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/KesarMilkShake.jpg,130,130
Cold Coffee,ProductType,7,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",120,,https://drive.google.com/file/d/12q3woJzjR7FpBQfmLThIsX0ExUZ8wRPo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffee.jpg,120,120
Cold Coffee With Ice Cream,ProductType,8,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",130,,https://drive.google.com/file/d/1ixG-19xuTet6etiV_HGmXGeen2fqVazw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffeeWithIceCream.jpg,130,130
Vanila Milk Shake,ProductType,9,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",120,,https://drive.google.com/file/d/1Co4ZO_ncUxCsCDTod5i_mPD2zGI6axI1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/VanilaMilkShake.jpg,120,120
Apple Milk Shake,ProductType,10,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",120,,https://drive.google.com/file/d/1Q1h3JBfwoqCC5Q2heeq7lWpkn3S1TZ8Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/AppleMilkshake.jpg,,
Kaju Anjeer Milk Shake,ProductType,11,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",160,,https://drive.google.com/file/d/1rS2rohzhSurt5x6qvQEONuRzwSm3vTDp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/KajuAnjeerMilkShake.jpg,160,160
Kaju Milk Shake,ProductType,12,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",160,,https://drive.google.com/file/d/1Ag5Qm_rvduiNn7Oqk5wAhil6eGzJ8iHl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/KajuMilkShake.jpg,160,160
Badam Milk Shake,ProductType,13,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",160,,https://drive.google.com/file/d/1fLhEXFaQv9El3EVpGEZG9ZfWoZOL_GuI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/BadamMilkShake.jpg,,
Anjeer Milk shake,ProductType,14,"Inventory,Food,Restaurant,Milk shake,Vegeterian,",160,,https://drive.google.com/file/d/1ewvNEET5QLUfjA2n7jYKJMrT1ULfG2nx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/AnjeerMilkShake.jpg,,
