label,nodeType,order,path,price,ingredients,link,imageLink,description
Double Omlet,ProductType,21,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,"egg, Red Chili Powder,onion,Tomato ,Salt,etc",https://drive.google.com/file/d/1sgQ0_u35DFT03XJ3qLgfHOjwdjX0nji0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/DoubleOmlet.jpg,
Oil Fry,ProductType,22,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,,,,
Chicken 65,ProductType,23,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100," chicken  ,  salt,  chili powder,  chopped garli,  finely chopped green chile peppers, cornstarch,etc",https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,,
Chicken 65 Plate,ProductUnit,24,"Inventory,Food,Restaurant,Entree,NonVegeterian,Chicken 65,",100," chicken  ,  salt,  chili powder,  chopped garli,  finely chopped green chile peppers, cornstarch,etc",https://drive.google.com/file/d/1NhJK8I63PoeEWe6CZAlumIFXG6O6FWVV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65Plate.jpg,
Lollipop,ProductType,25,"Inventory,Food,Restaurant,Entree,NonVegeterian,",20," chicken  ,  salt,  chili powder,  chopped garli,  finely chopped green chile peppers, cornstarch,etc",https://drive.google.com/file/d/1Tiv9p-NwYric5aKoilP3DAyev27Z78_t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Lollipop.jpg,
Leg Piece,ProductType,26,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,"chicken Leg , chili powder,chopped garlic, chopped green chile peppers,salt,etc",https://drive.google.com/file/d/1vd_cCoEWp6mBT-iZqwSpFZ3XEaPbs49V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/LegPiece.jpg,
Vegeterian Entree,ProductClass ,1,"Inventory,Food,Restaurant,",,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Vegeterian Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Vegeterian Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Soyabean Shev Bhaji,ProductType,4,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",100,,https://drive.google.com/file/d/1u740rNZTKpaEjKUTNWikZcGa7w5eZJmr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img-2/SoyabeanShevBhaji.jpg,
Tamatar Chatney,ProductType,5,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",100," large tomatoes, inch ginger, to  dry red chilies, to  black pepper, to  cloves,water for grinding, oil,▢salt as required,",https://drive.google.com/file/d/1ZXQOr746wNRKOjm_DUhFX5D9C7ktUBCJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TamatarChatney.jpg,
Baigan Masala,ProductType,6,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",100," baingan, cumin seeds, coriander seeds, sesame seeds, cup dessicated coconut, oil, onion, chopped,78 curry leaves, ginger garlic paste, salt, turmeric powder, red chilli powder,tamarind paste, coriander leaves, water,",https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,
Jeera Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",100," cup basmati rice,oil,  salt,  salt, coriander,water,etc",https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,,
Jeera Rice Plate,ProductUnit,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",100," cup basmati rice,oil,  salt,  salt, coriander,water,etc",https://drive.google.com/file/d/1A-MwMeijhQF6nYlqwffepmvRea4WYxTB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/JeeraRicePlate.jpg,
Sada Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",80," Rice,s Water,Oil (optional),Salt (optional)",https://drive.google.com/file/d/1N7OGY-0h3TJFbX47OED9ooZ9cb-VLmTQ/view?usp=sharing,,
Sada Rice Plate,ProductUnit,7,"Inventory,Food,Restaurant,Rice,Vegeterian,Sada Rice,",80," Rice,s Water,Oil (optional),Salt (optional)",https://drive.google.com/file/d/18q4FsT0nVgMT2ySxMB5FwpJWOSpyxQbS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SadaRicePlate.jpg,
