label,nodeType,order,path,price,ingredients,link,imageLink,description
Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterain,",10,"    Milk,  Tea Powder,  .   Water,  Sugar.",https://drive.google.com/file/d/1fd2gFK13kA_Nc4iEqwyT__x9hmcV5BvG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tea.jpg,
Nes Coffee,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterain,",15,"Coffee powder,Water,Milk,Sugar.",https://drive.google.com/file/d/1zMFTfEIU51VGWIMBcuxsdKJhU3QXz73Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/NesCoffee.jpg,
Milk,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterain,",10,,https://drive.google.com/file/d/1bdbLodzIejCKnr6YkL5sHHz2OJRdcEGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Milk.jpg,
Minral Water,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterain,",20,,https://drive.google.com/file/d/15TQeWVCsMyXwVVZ0wB1Ro36QOGMIci_A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MinralWater.jpg,
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterain,ProductLine,3,"Inventory,Food,Restaurant,Desserts,",,,,,
Basundi,ProductType,4,"Inventory,Food,Restaurant,Desserts,Vegeterain,",40," full fat milk,  sugar, Cardamom pods, almonds, blanched, pistachios, Saffron threads.",https://drive.google.com/file/d/1V28jcGpS-2v6W2Ip_XRtcU2pKcCzFnWz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Basundi.jpg,
Basundi,ProductType,5,"Inventory,Food,Restaurant,Desserts,Vegeterain,",380,,https://drive.google.com/file/d/1V28jcGpS-2v6W2Ip_XRtcU2pKcCzFnWz/view?usp=sharing,,
Basundi 1kg,ProductUnit,6,"Inventory,Food,Restaurant,Desserts,Vegeterain,Basundi,",380,,https://drive.google.com/file/d/1hf8U4yjFWG_g62UB1UwPwIJ1S7UirjvR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Basundi1kg.jpg,
Butter Milk,ProductType,7,"Inventory,Food,Restaurant,Desserts,Vegeterain,",30,"  milk,  lemon juice or white vinegar.",https://drive.google.com/file/d/1are1xYhfCVHfLjq7qgYAF6KOq6Zn4w07/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMilk.jpg,
Lassi,ProductType,8,"Inventory,Food,Restaurant,Desserts,Vegeterain,",35,"Plain Curd,  Sugar,  Water or Milk,etc",https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,,
Lassi Full,ProductUnit,9,"Inventory,Food,Restaurant,Desserts,Vegeterain,Lassi,",35,"Plain Curd,  Sugar,  Water or Milk,etc",https://drive.google.com/file/d/1mSYIF8GX52sqjYpjF0_ewtN4CxUBEELV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/LassiFull.jpg,
Lassi Half,ProductUnit,10,"Inventory,Food,Restaurant,Desserts,Vegeterain,Lassi,",20," Plain Curd,  Sugar,  Water or Milk,etc",https://drive.google.com/file/d/1lVg6azotKJo-zehlqc7SzBvB5notekyY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/LassiHalf.jpg,
Tomato Omelate,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Non-Vegeterain,",50,"egg,  Red Chili Powder,onion,Tomato ,Salt,etc",https://drive.google.com/file/d/1_C0eQNtmpMCXOpTwCmWDJ3w91DXslhOy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TomatoOmelate.jpg,
Butter Tomato Omelate,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Non-Vegeterain,",60,"egg,  Red Chili Powder,onion,Tomato ,Salt,Butter.",https://drive.google.com/file/d/1fedMVWo-xTGoMzkvfMwGvQEbXcvQdToN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ButterTomatoOmelate.jpg,
