label,nodeType,order,path,price,description,ingredients,link,imageLink
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Chinese,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",,,,,
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",65,," cups grated cabbage, grated carrot, tsp maida,
 tsp Salt, tsp chilli sauce, tsp soya sauce,
 tsp tomato ketchup, tsp lemon juice, tsp sugar,
 capsicum, onion, tsp chopped garlic",https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg
Paneer Manchurian,ProductType,5,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",75,,"ingredients for Balls : chopped onion / cups,
chopped green chillies  tsp,paneer shredded  gms,
chopped Coriander leaves  tbsp,cornflour  tbsp,
salt / tsp,white papper / tsp,Ingredients for gravy :oil  tbsp,
garlic chopped  tsp,ginger chopped  tsp",https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg
Mushroom Manchurian,ProductType,6,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",105,,"/ capiscum, small pieces of ginger,
 white onion gloves, nos small green chilli,
 green onion, tbsp soya sauce, tsp ketchup,
 tsp vinegar, tsp chilli sauce, tbsp sugar,
/ tsp black pepper,/ tsp salt for curry",https://drive.google.com/file/d/1h9mq-N1nat_cG5ELIeoeIHppq06tVhlv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomManchurian.jpg
Gravy Manchurian,ProductType,7,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",85,,"Grated cabbage big bowls  bowls,capsicum  bowls,
onion  bowls,garlic paste  tbsp,Ginger paste  tbsp,
Tomato ketchup  tbsp,Soya sauce  tbsp,
Green chilli sauce  tbsp,Red chilli sauce  tbsp,
Pepper powder / tsp,Salt  tbsp,Corn flour  bowls,
Oil  tbsp",https://drive.google.com/file/d/1y9ZWMhKoUPY_gbVf9U09YD8FyY0Rvpjg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GravyManchurian.jpg
Paneer Chilli,ProductType,8,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",95,,"Paneer:  cup cubed,Onions:  finely sliced,
Capsicum:  sliced,Green chillies: ,Garlic:  tbsp finely chopped,
Corn flour:  / cup,Salt:  tsp,Black pepper powder:  tsp,
Soya sauce:  tbsp,Tomato sauce:  tbsp,Red chilli sauce:  tbsp",https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg
American Chopsuey,ProductType,9,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",95,," packet Hakka Noodles, Capsicum, cup green onion,
 cup cabbage, tbsp tomato sauce, tbsp Chili sauce,
 tbsp cornstarch, cups oil for deep frying,
 packet noodles taste maker, carrot",https://drive.google.com/file/d/1ET8UtZ5YsWqeLbVbBPZOJWthJrRHiy1L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AmericanChopsuey.jpg
Chinese Bhel,ProductType,10,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",95,,"noodles fried  gms,onion sliced  nos,
capsicum cut into fine slices  nos,powder sugar  / tbsp,
tomato sauce  / tbsp,lemon juice  tsp,red chilli powder / tsp,
pepper powder / tsp,chopped coriander leaves  tbsp,
salt  tsp,roasted ground nuts  tbsp",https://drive.google.com/file/d/1GPi9hn0ZkUeegyxQKlKo7r_UcsvbSsw4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChineseBhel.jpg
Chinese Chopsuey,ProductType,11,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",95,," Capsicum, cup green onion, cup cabbage,
 tbsp tomato sauce, tbsp Chili sauce,
 tbsp cornstarch, cups oil for deep frying,
 packet noodles taste maker, carrot",https://drive.google.com/file/d/15Fy26Ag3zxvUh1GPFbgMJs_CKPB1YRVE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChineseChopsuey.jpg
Fried Rice,ProductType,12,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",65,," tbsp​ veg oil, medium onion diced,
 carrot, cup cut zucchini,Fresh green peas from - pods,
 Green chillies, small tomato, tsp black pepper,
/ tsp salt, tsp oregano,/ tsp chilli flakes",https://drive.google.com/file/d/1DIwrqLBQA06tZTNutwX-gYSolgANQhBp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedRice.jpg
Veg Pulao,ProductType,13,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",65,," cup Cabbage, small onions, cup of capcicum,
 cup of soya chunks, small carrots, spoon of garam masala, spoon of ginger garlic paste, spoon of jeera seeds, spoons of salt, spoon of ghee, cup of oil,
 cup of peas",https://drive.google.com/file/d/1Q9y5vfasmuYAjDTQOc6uFluyeWQ-5t2O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulao.jpg
