label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Apple Juice,ProductType,8,"Inventory,Food,Restaurant,Juices,Vegeterian,",80,,https://drive.google.com/file/d/1SSByeYHJ7OOY4sbQnftcyiadxrpfgoo5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AppleJuice.jpg,80,80
Mango Juice Canned,ProductType,9,"Inventory,Food,Restaurant,Juices,Vegeterian,",70,,https://drive.google.com/file/d/1i7ZuUMYSyyCLF8olT8CT9UT8n0htSVYm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MangoJuiceCanned.jpg,70,70
Mastani,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eq3bCCXKRxUzQh-Z-1HSdykhPW8SDxQL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/mastani.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mastani,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mastani,",,,,,,
Mango Mastani,ProductType,4,"Inventory,Food,Restaurant,Mastani,Vegeterian,",140,,https://drive.google.com/file/d/1x1W3-4w0CLGLlbwKYCXVTc1dCDP448KA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoMastani.jpg,,
Dry Fruit Mastani,ProductType,5,"Inventory,Food,Restaurant,Mastani,Vegeterian,",150,,https://drive.google.com/file/d/1aAot7jOdVnZF7pR-RbYj3Hsl2KOZwwla/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DryFruitMastani.jpg,,
Falooda,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/18kHI5PWV7nleygIRYyC84d7GGq1BHW41/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/Falooda.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Falooda,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Falooda,",,,,,,
