label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Shev Bhaji,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,"  spicy sev,onion,dry grated coconut, garlic clove,  grated ginger ,  jeera,  oil preferably peanut oil ,  dhana powder,  garam masala ,salt , s of water,etc",https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,,110,
Baigan Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,"  baingan,  cumin seeds,  coriander seeds,  sesame seeds,  dessicated coconut,  oil,  onion, chopped,  curry leaves,  ginger garlic paste,  salt,  turmeric powder,  red chilli powder,  tamarind paste,  coriander leaves,  water,",https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,,,
Baigan Masala Kolhapuri,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,"Drumstick,  Chilli, powder,  Coriander, powder,  Coriander, pinch Hing, Onion,  Peanut, Tomato,  Ginger garlic paste,  Mustard,  Garam masala,  Poppy seeds,  Salt,  Sesame,  Turmeric,  Water.",https://drive.google.com/file/d/1IxaGFeBEvTDN0sTnPq8bsNcLIi-ISJSp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganMasalaKolhapuri.jpg,,,
Shevga Curry,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1CeDA7KnJ6fyLIHv-ajlA3o-9zVvupG1n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShevgaCurry.JPG,,110,
Shevga Fry,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",100," drumsticks,  coriander powder,  chilli powder, spn turmeric powder, leaves curry leaves,  mustard seeds,Oil,Salt.",https://drive.google.com/file/d/1f7PbcO_3bQCFZTl4CwK3BRaN7dNTFqkR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Fry.jpg,,110,
Shevga Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",110," sized drumsticks cut   ,  Onion chopped, Curry Leaves,  Ghee, Green chilies chopped,  Chopped gingergarlic,  Tomato chopped,  Jeera,  Mustard Seeds,  Haldi,A pinch of Kasuri methi,Salt according .",https://drive.google.com/file/d/1PLNegM8wBDLPbjDiiekLmoOYgxcpkeAj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Masala.jpg,,120,
Aloo Matar,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1RPW48BzzhnUcWMeSLM0JLisb-P-VDNi9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMatar.jpg,,110,
Besan,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,,,,90,
Tawa Besan,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",100," Green chilies,  Garlic, Lemon, Salt, Onion,  flour  besan,as needed Oil,  Turmeric powder.",https://drive.google.com/file/d/1CArwuE_kuHJJKpUhuQUQ0YQrQFCgiwhH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Besan.jpg,,,
Bhendi Fry,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1JuaS9-HeNYDddzgv255-ILPSG56AoNGt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiFry.jpg,,,
Bhendi Masala,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/19fqIuFOUUhUgkG8ydZ2ZF_cSaIi2c7DT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiMasala.jpg,,,
Lason Methi,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,, ,,,,
Tamata Chutney,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1iRcK7fb3OJNM5XZJZenauR4PXPqFmvwP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tamata-Chutney.jpg,,,
Thecha,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/1hvgF1QY6mrGEnHI6SbksM7zq6fiHtlP9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Thecha.jpg,,,
