label,nodeType,order,path,price,description,link ,imageLink,,,,,,,,,,,,,,,,
Red Heart Cake 1Kg,ProductUnit,20,"Inventory,Food,Bakery,Cake,Vegeterian,Red Heart Cake,",,,https://drive.google.com/file/d/11CdAsG9LaRBbdi3EGk1VAeN-xdKUForl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RedHeartCake1Kg.jpg,,,,,,,,,,,,,,,,
Rasmalai Cake 1Kg,ProductUnit,21,"Inventory,Food,Bakery,Cake,Vegeterian,Rasmalai Cake,",,,https://drive.google.com/file/d/1YQNzqoCrZQiAx2rjSqWuGun6QMioxTsV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RasmalaiCake1Kg.jpg,,,,,,,,,,,,,,,,
Kaju Katli Cake 1Kg,ProductUnit,22,"Inventory,Food,Bakery,Cake,Vegeterian,Kaju Katli Cake,",,,https://drive.google.com/file/d/18ohWuvCoFWvpD73PoGk0y7hMXMzGDX98/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/KajuKatliCake1Kg.jpg,,,,,,,,,,,,,,,,
Choco Forest Cake 1Kg,ProductUnit,23,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Forest Cake,",,,https://drive.google.com/file/d/15RE72lAygOH9iQ0eLDCpTOytH2aLbrs7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoForestCake1Kg.jpg,,,,,,,,,,,,,,,,
Truffle Cake 1Kg,ProductUnit,24,"Inventory,Food,Bakery,Cake,Vegeterian,Truffle Cake,",,,https://drive.google.com/file/d/1YpLBhZRd4p3Au-jNs3a2l3R8hbR0UbY-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/TruffleCake1Kg.jpg,,,,,,,,,,,,,,,,
Farm House Chocolate Cake 1Kg,ProductUnit,25,"Inventory,Food,Bakery,Cake,Vegeterian,Farm House Chocolate Cake,",,,https://drive.google.com/file/d/1Pb5gGrI_WeMCY4WwVDj_PcvyhjSt7Ytq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/FarmHouseChocolateCake1Kg.jpg,,,,,,,,,,,,,,,,
Rainbow Cake 1Kg,ProductUnit,26,"Inventory,Food,Bakery,Cake,Vegeterian,Rainbow Cake,",,,https://drive.google.com/file/d/1yFpAhHn-iO3HOqbmhqBOb3s80Zvqvqlw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RainbowCake1Kg.jpg,,,,,,,,,,,,,,,,
Alpine Chocolate Cake 1Kg,ProductUnit,27,"Inventory,Food,Bakery,Cake,Vegeterian,Alpine Chocolate Cake,",,,https://drive.google.com/file/d/1aFIMc4sT_1d5Ez1GuYFRAF_P4HY3Gr1F/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/AlpineChocolateCake1Kg.png,,,,,,,,,,,,,,,,
Rose Gulkand Cake 1Kg,ProductUnit,28,"Inventory,Food,Bakery,Cake,Vegeterian,Rose Gulkand Cake,",,,https://drive.google.com/file/d/1EJZFykBmWLaksd16mUQXZlGY88rV5-Mp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RoseGulkandCake1Kg.jpg,,,,,,,,,,,,,,,,
Butterscotch Cake 1Kg,ProductUnit,29,"Inventory,Food,Bakery,Cake,Vegeterian,Butterscotch Cake,",,,https://drive.google.com/file/d/1WMeCvdCGaJ4L3kHucUPHjdwxXKG_jzFF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ButterscotchCake1Kg.jpg,,,,,,,,,,,,,,,,
Choco Chips Heart Shaped Cake 1Kg,ProductUnit,30,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Chips Heart Shaped Cake,",,,https://drive.google.com/file/d/1ncIiR5gNf23faMEI84NXsIIsxMtQBgVA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoChipsHeartShapedCake1Kg.jpg,,,,,,,,,,,,,,,,
Choco Chip Cake 1Kg,ProductUnit,31,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Chip Cake,",,,https://drive.google.com/file/d/1BZSSWNfV9gq8EgeoMYX1UsSqDb_r1Z-l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoChipCake1Kg.jpg,,,,,,,,,,,,,,,,
Chocolate Truffle Cake 1Kg,ProductUnit,32,"Inventory,Food,Bakery,Cake,Vegeterian,Chocolate Truffle Cake,",,,https://drive.google.com/file/d/1SphMhJYqOqR2eFTlJSpyJUCicJSJ2uGa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocolateTruffleCake1Kg.jpg,,,,,,,,,,,,,,,,
Dutch Almond Chocolate Cake 1Kg,ProductUnit,33,"Inventory,Food,Bakery,Cake,Vegeterian,Dutch Almond Chocolate Cake,",,,https://drive.google.com/file/d/1pQG8f6YZQcytMs0R2ehXu6wr2qTwN6KD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchAlmondChocolateCake1Kg.jpg,,,,,,,,,,,,,,,,
Choco Chips Cake Heart Shape 500gm,ProductUnit,34,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Chips Cake Heart Shape,",,,https://drive.google.com/file/d/1ohDhDIKoeucqiLBIfB7JAQ8t815CzY3D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoChipsCakeHeartShape500gm.jpg,,,,,,,,,,,,,,,,
Choco Chips Cake 500gm,ProductUnit,35,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Chips Cake,",,,https://drive.google.com/file/d/1Ri0bYhAdd__TuzB8mAAO-QZRoyn1mpTl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoChipsCake500gm.jpg,,,,,,,,,,,,,,,,
Rose Gulkand Cake 500gm,ProductUnit,36,"Inventory,Food,Bakery,Cake,Vegeterian,Rose Gulkand Cake,",,,https://drive.google.com/file/d/1EJNc8GeNXJaLksN_X-NSalVPQQgenArb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RoseGulkandCake500gm.png,,,,,,,,,,,,,,,,
Dutch Brownie Cake 500gm,ProductUnit,37,"Inventory,Food,Bakery,Cake,Vegeterian,Dutch Brownie Cake,",,,https://drive.google.com/file/d/1cmvyyPkI3EmWmvzeWq-ICnymauOQa7Kw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchBrownieCake500gm.jpg,,,,,,,,,,,,,,,,
Pineapple Cake 500gm,ProductUnit,38,"Inventory,Food,Bakery,Cake,Vegeterian,Pineapple Cake,",,,https://drive.google.com/file/d/12bSSeETW-_TsnaumOvgSQvsjAR1WWNeC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/PineappleCake500gm.jpg,,,,,,,,,,,,,,,,
Black Forest Cake 500gm,ProductUnit,39,"Inventory,Food,Bakery,Cake,Vegeterian,Black Forest Cake,",,,https://drive.google.com/file/d/1EGQ2Ky4zVQrxpwAHJqpctnkyvY6y_0hA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BlackForestCake500gm.jpg,,,,,,,,,,,,,,,,
Choco Forest Cake 500gm,ProductUnit,40,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Forest Cake,",,,https://drive.google.com/file/d/1BHrENQXNut9PWdxl3d2uxuW2ZcbRoIj5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoForestCake500gm.jpg,,,,,,,,,,,,,,,,
Dutch Almond Chocolate Cake 500gm,ProductUnit,41,"Inventory,Food,Bakery,Cake,Vegeterian,Dutch Almond Chocolate Cake,",,,https://drive.google.com/file/d/1A715Q1BYK8t7I9ZPddmBmalsjyGDBoM-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchAlmondChocolateCake500gm.jpg,,,,,,,,,,,,,,,,
Pista Cake 250gm,ProductUnit,42,"Inventory,Food,Bakery,Cake,Vegeterian,Pista Cake,",,, ,,,,,,,,,,,,,,,,,
Chocolate Truffle Cake 250gm,ProductUnit,43,"Inventory,Food,Bakery,Cake,Vegeterian,Chocolate Truffle Cake,",,,https://drive.google.com/file/d/1E_9auKDAG4UdWEPxaBlRJVDdIsmntK7I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocolateTruffleCake250gm.jpg,,,,,,,,,,,,,,,,
Bread,ProductClass,1,"Inventory,Food,Bakery,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Bread.jpg,,,,,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Bread,",,,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Bakery,Bread,",,,,,,,,,,,,,,,,,,,,
Milk Bread,ProductType,3,"Inventory,Food,Bakery,Bread,Vegeterian,",,,https://drive.google.com/file/d/1YBMmN0d6cNF-j4Wss6m48T7siDQWnbl9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MilkBread.jpeg,,,,,,,,,,,,,,,,
Brown Bread,ProductType,4,"Inventory,Food,Bakery,Bread,Vegeterian,",,,https://drive.google.com/file/d/1Vsj4BPz5yZHTV7606T7ID-LnDm6X1E2F/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BrownBread.jpg,,,,,,,,,,,,,,,,
White Bread,ProductType,5,"Inventory,Food,Bakery,Bread,Vegeterian,",,,https://drive.google.com/file/d/1ZB8Mk7kRufjjFIrGaqEFlCE-kcFCEuAy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/WhiteBread.jpg,,,,,,,,,,,,,,,,
Ladi Pav,ProductType,6,"Inventory,Food,Bakery,Bread,Vegeterian,",,,https://drive.google.com/file/d/1DBul3M1-6JpzmGqpj-BSbV_ro8K3r-Lv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/LadiPav.jpg,,,,,,,,,,,,,,,,
Burger Bun,ProductType,7,"Inventory,Food,Bakery,Bread,Vegeterian,",,,https://drive.google.com/file/d/1AoF1Ct5FcxUF9TpbV7e_JHvhgXCyKqDA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BurgerBun.jpg,,,,,,,,,,,,,,,,
Savouries,ProductClass,1,"Inventory,Food,Bakery,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/Savouries.jpg,,,,,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Savouries,",,,,,,,,,,,,,,,,,,,,
Aloo Puff,ProductType,3,"Inventory,Food,Bakery,Savouries,Vegeterian,",,,https://drive.google.com/file/d/1FfedTbM-1PlgJiB1k2cljWAVbLu76SXu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/AlooPuff.jpg,,,,,,,,,,,,,,,,
Veg Paneer Puff,ProductType,4,"Inventory,Food,Bakery,Savouries,Vegeterian,",,, ,,,,,,,,,,,,,,,,,
Vanilla Donut,ProductType,5,"Inventory,Food,Bakery,Savouries,Vegeterian,",,,https://drive.google.com/file/d/18Mt3yrGlQx05jW2EXhQt5xTw7hxHTouW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/VanillaDonut.jpg,,,,,,,,,,,,,,,,
Strawberry Donut,ProductType,6,"Inventory,Food,Bakery,Savouries,Vegeterian,",,,https://drive.google.com/file/d/1r2ohwnqgIan6foLw2y9Oi3T2AaYzWrn4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/StrawberryDonut.jpg,,,,,,,,,,,,,,,,
Pastry,ProductClass,1,"Inventory,Food,Bakery,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/PastriesBrownies.jpg,,,,,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Pastry,",,,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Bakery,Pastry,",,,,,,,,,,,,,,,,,,,,
Devil's Delight Pastry,ProductType,3,"Inventory,Food,Bakery,Pastry,Vegeterian,",,, ,,,,,,,,,,,,,,,,,
Kitkat Chocolate Pastry,ProductType,4,"Inventory,Food,Bakery,Pastry,Vegeterian,",,, ,,,,,,,,,,,,,,,,,
Dutch Pastry,ProductType,5,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/18RErucwrvDfTRFUd5rW-q5PeUqXsKFa_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchPastry.jpg,,,,,,,,,,,,,,,,
Black Forest Pastry,ProductType,6,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1wJGrzMuzBiXvDMzgiWymgo6GS-EcJk8S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BlackForestPastry.jpg,,,,,,,,,,,,,,,,
Alpino choco Pastry,ProductType,7,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1ZXABaOVI1cI9JxAjeTloPQeSCdjv7Scu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/AlpinochocoPastry.jpg,,,,,,,,,,,,,,,,
Pineapple Pastry,ProductType,8,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1W10wnMz6MIlf6PUk5nE6zdWsZ8iWhLqJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/PineapplePastry.jpg,,,,,,,,,,,,,,,,
Choco Bomb Pastry,ProductType,9,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1BQtXxwiaZqfE_ffhU5rlHpGBzBiWUWrb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoBombPastry.jpg,,,,,,,,,,,,,,,,
Choco Lava Pastry,ProductType,10,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1x35GgblSP2nuUNxHzO_PyLjTd8X0xkwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoLavaPastry.jpg,,,,,,,,,,,,,,,,
Butterscotch Pastry,ProductType,11,"Inventory,Food,Bakery,Pastry,Vegeterian,",,,https://drive.google.com/file/d/1do6bpDkmNEfU56UTf3VwS7E2vJ3pLuLn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ButterscotchPastry.jpg,,,,,,,,,,,,,,,,
Decorations,ProductClass,1,"Inventory,Food,Bakery,Vegeterian,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/Decorations.jpg,,,,,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,",,,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Bakery,Decorations,",,,,,,,,,,,,,,,,,,,,
Happy Birthday Foil Ballon,ProductType,2,"Inventory,Food,Bakery,Decorations,",,,https://drive.google.com/file/d/1EfDTyCBk2JeLa8HcTStorkby5mmlLl9A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/HappyBirthdayFoilBallon.jpeg,,,,,,,,,,,,,,,,
Magic Candle,ProductType,3,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1ouzOE-JUngS2MpMqwKvqxI88WEaZbfB5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MagicCandle.jpg,,,,,,,,,,,,,,,,
Mix Colour Round Balloon,ProductType,4,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1LxBAcYjs-7HWUaCZ0ReSgnA9ISXKNa4S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MixColourRoundBalloon.jpeg,,,,,,,,,,,,,,,,
Red and white Heart Shaped Balloon,ProductType,5,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1frK6rn9-cVtu9kTPeazK12vv5SDVv4XV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RedwhiteHeartShapedBalloon.jpg,,,,,,,,,,,,,,,,
Heart Shaped Ballon Packet,ProductType,6,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1MCXewlvyjfJvbG-RaKtql58fyKQYvK7-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/HeartShapedBallonPacket.jpg,,,,,,,,,,,,,,,,
Party Popper,ProductType,7,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1x67SkIIh6EowRqQyMDpMQtZAgLNZprAV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/PartyPopper.jpg,,,,,,,,,,,,,,,,
Sparkle Fire Candle,ProductType,8,"Inventory,Food,Bakery,Decorations,Vegeterian,",,,https://drive.google.com/file/d/1cSs2LXRtp_dmak_Cp8_BFf7A3ZfAkE-Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/SparkleFireCandle.jpeg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,/N //nnnnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,," 
........",,,,
