label,nodeType,order,path,price,link,imageLink,description
Mutton Ukhad,ProductType,18,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",200,https://drive.google.com/file/d/16NRAtFapZQuks6thE5s7c_1kJaZ2ESXH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonUkhad.jpg,
Mutton Kantaki,ProductType,19,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",230, ,,
Mutton Garlic,ProductType,20,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",240,https://drive.google.com/file/d/1uYLrdKS-TZDOCf7r-3HWGPSyBZhTGUI2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonGarlic.jpg.crdownload.jpg,
Mutton Ginger,ProductType,21,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",240,https://drive.google.com/file/d/1u5lbWnseXZrBTU7z4DwpMWnDbMND9ZTU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonGinger.jpg,
Mutton Kurma,ProductType,22,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",230,https://drive.google.com/file/d/1573aLpd7mS5whJ8J4lHStglNJtqcYkAe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonKurma.jpg,
Mutton Hyderabadi,ProductType,23,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",230,https://drive.google.com/file/d/1kPUTpvkvYdUE34RBwE5zp36JGKWgXkbj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonHyderabadi.jpg,
Tandoor Chicken,ProductType,24,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",400,https://drive.google.com/file/d/1RASMzosJneQoDijDFVyy8nvPPtHlhguL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TandoorChicken.jpg,
Tandoor Chicken Full,ProductUnit,25,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Tandoor Chicken,",400,https://drive.google.com/file/d/1aMmvTuayoR3ymCsbz5Jts-vvvJQo-XVV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TandoorChickenFull.jpg,
Tandoor Chicken Half,ProductUnit,26,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Tandoor Chicken,",200,https://drive.google.com/file/d/1FLL1UFS7PJQArrD1cGQpFSJYyCFR6zk-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TandoorChickenHalf.jpg,
Machhi Curry,ProductType,27,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150,https://drive.google.com/file/d/1kabfNhniPcK1sK9k5TvPA6AuW4-pwt1p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MachhiCurry.jpg,
