label,nodeType,order,path,price,ingredients,link,imageLink,description
Chicken Fried Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Fried Rice,",40," chopped chicken meat,egg,white rice,Black pepper,soy sauce,ground black pepper,vegetable oil",https://drive.google.com/file/d/134wk3vS_3SaVNNuaQr_DgD-35uYkXUS3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFriedRiceFull.jpg,
Chicken Schezwan Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",50," chopped chicken meat,egg,cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil",https://drive.google.com/file/d/1qhlBeL0qw1qVJHTfNNlpSjtDE2cMntTk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRice.jpg,
Chicken Schezwan Rice Half,ProductUnit,10,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Schezwan Rice,",30," chopped chicken meat,egg,cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil",https://drive.google.com/file/d/1oY_GmqQen2qZqQu-Pwb5kyWXv1KLN-GH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceHalf.jpg,
Chicken Schezwan Rice Full,ProductUnit,11,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Schezwan Rice,",50," chopped chicken meat,egg,cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil",https://drive.google.com/file/d/18hYnh0v5bknsWQAES4M4jqWwoHZjWrZ8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceFull.jpg,
Chicken Singapur Rice,ProductType,12,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",50,"whole chicken,garlic,onions,garlic, minced, cucumber, thinly sliced,grain rice",,,
Chicken Singapur Rice Half,ProductUnit,13,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Singapur Rice,",30,"whole chicken,garlic,onions,garlic, minced, cucumber, thinly sliced,grain rice",https://drive.google.com/file/d/1EqL_ZAl-WABufxRytVj1K7qzFN9o5fvb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurRiceHalf.jpg,
Chicken Singapur Rice Full,ProductUnit,14,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Singapur Rice,",50,"whole chicken,garlic,onions,garlic, minced, cucumber, thinly sliced,grain rice",https://drive.google.com/file/d/1RSyV-74cq34VZWX_yiinJlCUxY1NEMy8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurRiceFull.jpg,
Chicken Hongkong Rice,ProductType,15,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",70,"cooked rice,french beans,carrot,capsicum,onion,peppercorn,chopped chicken meat",,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongKongRice.jpeg,
Chicken Hongkong Rice Half,ProductUnit,16,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Hongkong Rice,",40,"cooked rice,french beans,carrot,capsicum,onion,peppercorn,chopped chicken meat",https://drive.google.com/file/d/1m4zBAJeM-tv4ov9ITnUQJ5fn8aTql0I6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongRiceHalf.jpg,
Chicken Hongkong Rice Full,ProductUnit,17,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Hongkong Rice,",70,"cooked rice,french beans,carrot,capsicum,onion,peppercorn,chopped chicken meat",https://drive.google.com/file/d/1XWt5SLOZW6scFAgPFXcOa3Jks44b3qJp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongRiceFull.jpg,
Chicken Tripple Rice,ProductType,18,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",110,,https://drive.google.com/file/d/1XvF1KC7hV6k6RFXGOXC-eh0wqdwhJS2U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTrippleRice.jpg,
Chicken Tripple Rice Half,ProductUnit,19,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Tripple Rice,",60,,https://drive.google.com/file/d/1kEQTqy9CPcM05N2SN2Q6tPqzSeYpCW1T/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTrippleRiceHalf.jpg,
Chicken Tripple Rice Full,ProductUnit,20,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Chicken Tripple Rice,",110,,https://drive.google.com/file/d/1J7uNXPVzHfTbvu9nIRPhvPdTY5MOpdEi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTrippleRiceFull.jpg,
Mutton Biryani,ProductType,21,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",100,"chopped Mutton,basmati rice,garam masala powder,ghee,water,beaten yoghurt,ginger paste,garlic paste,coriander leaves,red chilli powder",https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryani.jpg,
Mutton Biryani Half,ProductUnit,22,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Mutton Biryani,",60,"chopped Mutton,basmati rice,garam masala powder,ghee,water,beaten yoghurt,ginger paste,garlic paste,coriander leaves,red chilli powder",https://drive.google.com/file/d/1mbZPZH3SZ27ftx-X_RWKdusmYKOGiA4f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryaniHalf.jpg,
Mutton Biryani Full,ProductUnit,23,"Inventory,Food,Restaurant,Rice,Non Vegeterian,Mutton Biryani,",100,"chopped Mutton,basmati rice,garam masala powder,ghee,water,beaten yoghurt,ginger paste,garlic paste,coriander leaves,red chilli powder",https://drive.google.com/file/d/1-bh81Y2054g97biMVQn2tCSurP9GStfP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryaniFull.jpg,
Chicken Biryani,ProductType,24,"Inventory,Food,Restaurant,Rice,Non Vegeterian,",50,"chopped chicken,basmati rice,garam masala powder,ghee,water,beaten yoghurt,ginger paste,garlic paste,coriander leaves,red chilli powder",https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg,
