label,nodeType,order,path,price,description,link,imageLink,Swiggy
Grilled Mushroom Paneer Sandwich,ProductType,22,"Inventory,Food,Cafe,Sandwich,Vegeterian,",85,,https://drive.google.com/file/d/1Ve7rM8h25iPm_O3qCoMFvdYNr8aQyUFD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledMushroomPaneerSandwich.jpg,
Grilled Mayo Sandwich,ProductType,23,"Inventory,Food,Cafe,Sandwich,Vegeterian,",65,,https://drive.google.com/file/d/1A-4wnM92kcgSwqrgmxrUbON5J088Gnme/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledMayoSandwich.jpg,
Grilled Mayo Cheese Sandwich,ProductType,24,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,,,,
Grilled Masala Cheese Sandwich,ProductType,25,"Inventory,Food,Cafe,Sandwich,Vegeterian,",85,,https://drive.google.com/file/d/1_xyzpHiGWxZ7-3Kg72idCn1BncD3v6PA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledMasalaCheeseSandwich.jpg,
Grilled Masala Cheese Paneer Sandwich,ProductType,26,"Inventory,Food,Cafe,Sandwich,Vegeterian,",95,,,,
Grilled Corn and Pepper Sandwich,ProductType,27,"Inventory,Food,Cafe,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1wCwKxRZXzLs_OCYrVfvmEfW-oyiuDV3u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledCornandPepperSandwich.jpg,
Grilled Veg Frozen Paneer Sandwich,ProductType,28,"Inventory,Food,Cafe,Sandwich,Vegeterian,",75,,,,
Grilled Butter Toast Sandwich,ProductType,29,"Inventory,Food,Cafe,Sandwich,Vegeterian,",55,,https://drive.google.com/file/d/1RLTnqbsufZwD9iLYu_Ra94u3dkU-VD8E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledButterToastSandwich.jpg,
Grilled Chocolate Toast Sandwich,ProductType,30,"Inventory,Food,Cafe,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1sa2mF1X3thP7-teQfucRfkR0xOAZtiHB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledChocolateToastSandwich.jpg,
Grilled Butter Cheese Toast Sandwich,ProductType,31,"Inventory,Food,Cafe,Sandwich,Vegeterian,",75,,https://drive.google.com/file/d/1aboj8Lhh8c7fpqVn9BXoYXullvPvfgh0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/GrilledButterCheeseToastSandwich.jpg,
