label,nodeType,order,path,price,description,link,imageLink,Swiggy
Kaju Singapuri,ProductType,26,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/176gI8ICOS6PYbkRuixM4-hqVz2-bnGtW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuSingapuri.jpg,
kaju paneer Masala,ProductType,27,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1nHHvi8X6n_VqIiECNSaHu2LWBZQE8-ZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuPaneerMasala.jpg,
Paneer Butter Masala,ProductType,28,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,
Paneer Masala,ProductType,29,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,
Paneer Tikka Masala,ProductType,30,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,
Paneer Pahadi Masala,ProductType,31,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1OTDxoNXjjF8mDLD72oWeBOPCi7bCIj3z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerPahadiMasala.jpg,
Paneer Mumtaz,ProductType,32,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1gURw4OBUEyGeDAYnkmcshD4siHAP_nCX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMumtaz.jpeg,
Paneer Lababdar,ProductType,33,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/1klQ6gkZcDP9VZtjnp8INcM4dPmLs2AJe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerLababdar.jpg,
Paneer Amritsari,ProductType,34,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/1eo9ihIKJfTLitJi0-C5KOq1amsISV0Hj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerAmritsari.jpg,
Paneer Lazeez,ProductType,35,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/1ZHAs5q4OIzm3rTTd7XGgt7AqJ4eLHYy1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerLazeez.jpg,
